,Sl. No,Session,RaceNo,DriverNumber,LapTime,LapNumber,SpeedI1,SpeedI2,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,Team,Driver,TrackStatus,GridNo
109,,FP2,2,10,0 days 00:01:31.317000,17,280,317,326,TRUE,SOFT,7,TRUE,2,AlphaTauri,GAS,1,5
104,,FP2,2,22,0 days 00:01:31.505000,15,281,321,326,TRUE,SOFT,6,TRUE,2,AlphaTauri,TSU,2,6
108,,FP2,2,11,0 days 00:01:31.563000,15,283,327,333,TRUE,SOFT,5,FALSE,3,Red Bull Racing,PER,1,7
100,,FP2,2,31,0 days 00:01:32.026000,16,276,316,320,TRUE,SOFT,6,TRUE,2,Alpine,OCO,1,8
99,,FP2,2,44,0 days 00:01:32.364000,8,276,316,322,TRUE,SOFT,3,TRUE,2,Mercedes,HAM,1,9
107,,FP2,2,14,0 days 00:01:32.381000,11,276,313,319,TRUE,SOFT,4,TRUE,4,Alpine,ALO,1,10
112,,FP2,2,3,0 days 00:01:32.506000,15,271,307,316,TRUE,SOFT,6,TRUE,2,McLaren,RIC,2,11
105,,FP2,2,18,0 days 00:01:32.582000,15,277,318,325,TRUE,SOFT,2,TRUE,3,Aston Martin,STR,1,12
111,,FP2,2,4,0 days 00:01:32.594000,13,272,312,319,TRUE,SOFT,4,TRUE,2,McLaren,NOR,1,13
102,,FP2,2,24,0 days 00:01:32.608000,22,278,318,324,TRUE,SOFT,6,TRUE,5,Alfa Romeo,ZHO,1,14
113,,FP2,2,63,0 days 00:01:32.839000,8,275,315,324,TRUE,SOFT,8,FALSE,2,Mercedes,RUS,1,15
101,,FP2,2,27,0 days 00:01:33.034000,20,278,314,325,TRUE,SOFT,7,FALSE,4,Aston Martin,HUL,1,16
103,,FP2,2,23,0 days 00:01:33.087000,11,274,317,321,TRUE,SOFT,2,TRUE,2,Williams,ALB,1,17
110,,FP2,2,6,0 days 00:01:33.529000,11,274,316,320,TRUE,SOFT,2,TRUE,2,Williams,LAT,1,18
98,,FP2,2,47,0 days 00:01:34.429000,11,270,314,320,TRUE,MEDIUM,6,TRUE,3,Haas F1 Team,MSC,1,19
